ArticleId,Text,Category,Text_Length,Word_Count
1833,worldcom ex bos launch defence lawyer defending former worldcom chief bernie ebbers battery fraud charge called company whistleblower first witness cynthia cooper worldcom ex head internal accounting alerted director irregular accounting practice u telecom giant warning led collapse firm following discovery bn bn accounting fraud mr ebbers pleaded guilty charge fraud conspiracy prosecution lawyer argued mr ebbers orchestrated series accounting trick worldcom ordering employee hide expense inflate revenue meet wall street earnings estimate m cooper run consulting business told jury new york wednesday external auditor arthur andersen approved worldcom accounting early said andersen given green light procedure practice used worldcom mr ebber lawyer said unaware fraud arguing auditor alert problem m cooper also said shareholder meeting mr ebbers often passed technical question company finance chief giving brief answer prosecution star witness former worldcom financial chief scott sullivan said mr ebbers ordered accounting adjustment firm telling hit book however m cooper said mr sullivan mentioned anything uncomfortable worldcom accounting audit committee meeting mr ebbers could face jail sentence year convicted charge facing worldcom emerged bankruptcy protection known mci last week mci agreed buyout verizon communication deal valued bn,business,1866,187
154,german business confidence slide german business confidence fell february knocking hope speedy recovery europe largest economy munich based research institute ifo said confidence index fell february january first decline three month study found outlook manufacturing retail sector worsened observer hoping confident business sector would signal economic activity picking surprised ifo index taken knock said dz bank economist bernd weidensteiner main reason probably domestic economy still weak particularly retail trade economy labour minister wolfgang clement called dip february ifo confidence figure mild decline said despite retreat index remained relatively high level expected modest economic upswing continue germany economy grew last year shrinking however economy contracted last three month mainly due reluctance consumer spend latest indication growth still proving elusive ifo president han werner sinn said improvement german domestic demand sluggish export kept thing going first half demand export hit value euro hit record level making german product le competitive overseas top unemployment rate stuck close manufacturing firm including daimlerchrysler siemens volkswagen negotiating union cost cutting measure analyst said ifo figure germany continuing problem may delay interest rate rise european central bank eurozone interest rate comment senior official recently focused threat inflation prompting fear interest rate may rise,business,2016,196
1101,bbc poll indicates economic gloom citizen majority nation surveyed bbc world service poll believe world economy worsening respondent also said national economy getting worse asked family financial outlook majority country said positive future almost people country questioned poll mostly conducted asian tsunami disaster poll found majority plurality people country believed economy going downhill compared respondent nine country believed improving surveyed three country split percentage term average respondent country said world economy getting worse compared said improving similarly pessimistic national economy optimistic saw family economic condition improving said getting worse poll people conducted international polling firm globescan together program international policy attitude pipa university maryland world economy picked difficult time year ago people seem fully absorbed development though personally experiencing effect said pipa director steven kull people around world saying ok world may perception war terrorism religious political division making world worse place even though far reflected global economic performance say bbc elizabeth blunt country people optimistic world family two fast growing developing economy china india followed indonesia china seen two decade blistering economic growth led wealth creation huge scale say bbc louisa lim beijing result also may reflect untrammelled confidence people subject endless government propaganda country rosy economic future correspondent say south korea pessimistic respondent italy mexico also quite gloomy bbc david willey rome say one reason result changeover lira euro widely viewed biggest reason wage salary worth le used philippine among upbeat country prospect respondent family one pessimistic world economy pipa conducted poll november january across country face face telephone interview interview took place november january margin error point depending country eight country sample limited major metropolitan area,business,3104,269
1976,lifestyle governs mobile choice faster better funkier hardware alone going help phone firm sell handset research suggests instead phone firm keen get customer pushing technology sake consumer far interested handset fit lifestyle screen size onboard memory chip inside show depth study handset maker ericsson historically industry much focus using technology said dr michael bjorn senior advisor mobile medium ericsson consumer enterprise lab stop saying technology change life said try speak consumer language help see fit told bbc news website study ericsson interviewed mobile phone owner way use phone people habit remain said dr bjorn move activity mobile phone much convenient way one good example diary writing among younger people said diary always popular mobile phone especially one equipped camera help keep different form youngster use text message also reflects desire chat keep contact friend let slightly changed way dr bjorn said although consumer always use phone sheer variety new handset technology make possible gradually drive new habit lifestyle ericsson research shown consumer divide different tribe use phone different way dr bjorn said group dubbed pioneer materialist interested trying new thing behind start many trend phone use instance said older people using sm much five year ago younger user often child ageing mobile owner encouraged older people try could keep touch another factor governing speed change mobile phone use simple speed new device bought pioneer materialist people handset new innovation camera consumer stop worrying send picture message person end able see significant number user passed use new innovation tends take dr bjorn said early report camera phone usage japan seemed imply innovation going flop however said japanese people ericsson questioned use camera phone least month figure similarly across europe number people taking snap camera starting rise people uk took phonecam snap least month figure similar rise seen many european nation dr bjorn said people also used camera phone different way film even digital camera usage pattern digital camera almost exactly replacing usage pattern analogue camera said digital camera tend used significant event wedding holiday birthday contrast said camera phone used much capture moment woven everyday life,tech,3618,345
917,enron boss payout eighteen former enron director agreed settlement deal shareholder lawsuit collapse energy firm leading plaintiff university california announced news adding former director pay pocket settlement put court approval next week enron went bankrupt emerged hidden hundred million dollar debt collapse firm seventh biggest public u company revenue demise sent shockwaves financial market dented investor confidence corporate america settlement significant holding outside director least partially personally responsible william lerach lawyer leading class action suit enron said hopefully help send message corporate boardroom importance director performing legal duty added term settlement covered insurance none former director admit wrongdoing deal fourth major settlement negotiated lawyer filed class action behalf enron shareholder almost three year ago far including latest deal retrieved investor however latest deal include former enron chief executive ken lay jeff skilling men facing criminal charge alleged misconduct run firm collapse neither cover andrew fastow pleaded guilty taking part illegal conspiracy chief financial officer group enron shareholder still seeking damage long list big name defendant including financial institution jp morgan chase citigroup merrill lynch credit suisse first boston university california said trial case scheduled begin october joined lawsuit december alleging massive insider trading fraud claiming lost investment company,business,2190,198
1582,howard truanted play snooker conservative leader michael howard admitted used play truant spend time school friend snooker hall mr howard said time jack snooker hall llanelli done lasting damage told time educational supplement truancy bad said firm action needed mr howard also called return level classroom discipline mr howard eventually left llanelli grammar school snooker hall go cambridge university said think done lasting damage made snooker world champion might occasion left early afternoon honest think truancy bad thing firm action taken deal another player failed win snooker world championship jimmy whirlwind white previously admitted missing lesson instead spending day smoky hall tony meo another player used spend spare time mr white said loved game atmosphere school went window went started taking time mr howard fellow welshman ray reardon known fellow professional dracula snooker world championship six time left school work miner terry griffith like mr howard llanelli tournament known whether two ever clashed cue jack,politics,1588,155
651,wale silent grand slam talk rhys williams say wale still thinking winning grand slam despite third six nation win last thing mind moment said williams second half replacement saturday win france paris realise difficult task go scotland beat come unstuck couple time recently focus game worry ireland hopefully beaten scotland captain gareth thomas ruled rest campaign broken thumb williams vying first start championship far kevin morgan probably favourite replace thomas full back leaving williams hal luscombe battle right wing berth hamstring injury denied luscombe opportunity make third successive start dragon winger expected fit trip murrayfield march hooker robin mcbryde doubtful picking knee injury paris centre sonny parker flanker colin charvis set recover injury contention selection said wale assistant coach scott johnson worked weekend report bit positive getting couple back add depth squad scotland secured first win campaign saturday grinding win italy matt williams side shown little attack johnson insisted scot difficult opposition break italy really brave opposition sometimes hard win said ugly win effective point victory scotland hard side underrated taking anything granted basking glory winning first three game got diligent preparation job got make sure focused,sport,1988,187
1797,french honour director parker british film director sir alan parker made officer order art letter one france highest cultural honour sir alan received decoration paris wednesday french culture minister renaud donnedieu de vabres explored possibility film immense talent mr de vabres said presented award parker praised french film saying hollywood created modern cinema us commodity told minister honoured thus distinguished france flag carrier cinema throughout world sir alan film include oscar winning fame plus midnight express commitment founding member director guild great britain former chairman uk film council board british film institute work campaign shown u artist occupies essential place contemporary society mr de vabres said dream show u link weave question world mirror work also cited director film life david gale kevin spacey played man death row proof veritable artistic commitment death sentence,entertainment,1342,134
2034,car giant hit mercedes slump slump profitability luxury car maker mercedes prompted big drop profit parent daimlerchrysler german u carmaker saw fourth quarter operating profit fall euro bn bn euro mercedes benz woe profit slid euro obscured strong performance chrysler group whose return met market expectation mercedes face fierce competition luxury car sector bmw hope revive fortune mercedes profit period compared unfavourably euro figure well analyst expectation euro year whole operating profit fell bn euro sale mercedes brand fell demand cooled revenue affected weakness u dollar carmaker blamed fall profit high launch cost new model loss mercedes smart mini car range mercedes hoping increase productivity bn euro negotiated euro annual saving german worker last year firm said determined retain mercedes position world successful luxury brand however daimlerchrysler share fell news division well big worry continue surround mercedes benz michael rabb analyst bank sal oppenheim told reuters contrast chrysler enjoyed annual increase unit sale revenue calculated u dollar rose u division whose marque include dodge jeep transformed full year operating loss euro bn euro profit last year overall daimlerchrysler saw worldwide vehicle sale rise million total revenue added bn euro chrysler strong performance helped world fifth largest carmaker boost net income euro bn euro year show strategy work well even challenging competitive environment said jurgen schrempp daimlerchrysler chairman daimlerchrysler took euro hit cost stemming defect scandal joint venture japanese subsidiary fuso daimlerchrysler last week agreed compensation package partner mitsubishi motor see buy stake fuso looking forward daimerchrysler profit expected slightly higher however expecting significant improvement profitability result major investment mercedes product range,business,2609,261
1866,fockers fuel festive film chart comedy meet fockers topped festive box office north america setting new record christmas day sequel took december according studio estimate took christmas day alone highest taking day box office history meet fockers sequel ben stiller comedy meet parent also starring robert de niro blythe danner dustin hoffman barbra streisand despite success meet fockers taking figure blamed christmas falling weekend year christmas fall weekend bad business said paul dergarabedian president exhibitor relation compiles box office statistic weekend top film took estimated compared last year third lord ring film dominated box office meet fockers knocked last week top film lemony snicket series unfortunate event third place comedy fat albert co written bill cosby entered chart second place opening christmas day taking aviator starring leonardo dicaprio howard hughes took expanding cinema christmas day,entertainment,1368,135
